NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06418139,Association of Pembrolizumab Infusion Time and Efficacy in Patients With Non-metastatic Triple-negative Breast Cancer (TNBC) Treated With Neoadjuvant Chemotherapy and Immunotherapy,https://clinicaltrials.gov/study/NCT06418139,NOT_YET_RECRUITING,Non-Metastatic Breast Carcinoma,OTHER: No intervention,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT06418126,Prediction of Radiotherapy Efficacy in Patients With Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06418126,RECRUITING,Triple-negative Breast Cancer,BIOLOGICAL: blood sampling before radiotherapy|BIOLOGICAL: blood sampling after the fourth radiotherapy session|OTHER: collection of acute toxicity (radiodermatitis)|OTHER: collection of late toxicity|OTHER: collection of disease status|RADIATION: Radiotherapy - Breast +/- lymph node areas|RADIATION: Radiotherapy - Boost operating bed,Institut de cancérologie Strasbourg Europe,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,INTERVENTIONAL
NCT06418113,Neoadjuvant Radio-chemotherapy Safety Pilot Study in Patients With Glioblastoma,https://clinicaltrials.gov/study/NCT06418113,RECRUITING,"Glioblastoma|Glioblastoma Multiforme|Glioblastoma, IDH-wildtype|Radiotherapy; Complications|Cancer Brain",RADIATION: hypofractionated stereotactic radiotherapy|PROCEDURE: Stereotactic biopsy|PROCEDURE: resection|DRUG: Chemotherapy|RADIATION: radiotherapy Stupp protocol|DRUG: Chemotherapy Stupp Protocol,"Hospital San Carlos, Madrid",Asociación de Afectados Por Tumores Cerebrales en España (ASATE),INTERVENTIONAL
NCT06418100,Recto-intercostal Block for Coronary Artery Bypass Grafting,https://clinicaltrials.gov/study/NCT06418100,RECRUITING,Coronary Artery Disease|Peripheral Nerve Blocks|Sternotomy,PROCEDURE: The recto intercostal fascial plane block,Haseki Training and Research Hospital,,INTERVENTIONAL
NCT06418087,Durvalumab With Carboplatin and Etoposide Chemotherapy in Pulmonary Large-cell Neuroendocrine Carcinoma (LCNEC),https://clinicaltrials.gov/study/NCT06418087,RECRUITING,Pulmonary Large-cell Neuroendocrine Carcinoma,DRUG: Durvalumab 50 MG/1 ML Intravenous Solution [IMFINZI],Gruppo Oncologico Italiano di Ricerca Clinica,,INTERVENTIONAL
NCT06418074,"Effects of Exogenous Ketosis on Renal Function, Renal Perfusion, and Sodium Excretory Capacity",https://clinicaltrials.gov/study/NCT06418074,NOT_YET_RECRUITING,Ketosis|Essential Hypertension,DIETARY_SUPPLEMENT: Beta-hydroxybutyrate|OTHER: Placebo,Gødstrup Hospital,,INTERVENTIONAL
NCT06418061,"Study of IBI3005 in Subjects With Unresectable, Locally Advanced or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT06418061,NOT_YET_RECRUITING,Solid Tumors,DRUG: IBI3005,Innovent Biologics (Suzhou) Co. Ltd.,,INTERVENTIONAL
NCT06418048,INfectious DIsease REgistry BIObank,https://clinicaltrials.gov/study/NCT06418048,RECRUITING,Bloodstream Infections|Central Nervous System Infections|Bone and Joint Infections|Endovascular Infections|Infective Endocarditis|CIED-related Infections|Vertebral Osteomyelitis,,IRCCS San Raffaele,,OBSERVATIONAL
NCT06418035,Acquisition of Daily Living Skills in Autistic Children: Comparison Between QR Code and a Human Operator,https://clinicaltrials.gov/study/NCT06418035,RECRUITING,Autism|Autism Spectrum Disorder,BEHAVIORAL: Video modeling by scanning Qr code|BEHAVIORAL: Modeling traditional method,Istituto per la Ricerca e l'Innovazione Biomedica,"Messina, Italy",INTERVENTIONAL
NCT06418022,Evaluating Fluid Responsiveness in ICU Patients Using VTI and Trendelenburg Positioning,https://clinicaltrials.gov/study/NCT06418022,RECRUITING,"Shock|Fluid Overload|Cardiac Output, Low",DEVICE: Trendelenburg positioning VTI,Lenox Hill Hospital,,INTERVENTIONAL
