EudraCT Number:,2008-006649-18
Sponsor Protocol Number:,08/0214
Sponsor Name:,University College London
Full Title:,"CMV TCR Gene Therapy: A Phase I Safety, Toxicity and Feasibility Study of Adoptive Immunotherapy with CMV TCR-transduced Donor-derived T cells for Recipients of Allogeneic Haematopoietic Stem Cell ..."
Start Date:,2011-11-16
Medical condition:,"CMV reactivation/infection in post allogeneic haematopoietic stem cell transplant recipients. Allo-HSCT being performed for underlying haematological malignancy (eg, AML, ALL, NHL, Hodgkin Lymphoma..."
Disease:,"Version: 19.0, SOC Term: 100000004865, Classification Code: 10067859, Term: Allogenic stem cell transplantation, Level: LLT"
Population Age:,Adults
Gender:,"Male, Female"
Trial protocol:,GB(Prematurely Ended)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-006649-18
EudraCT Number:,2008-004874-42
Sponsor Protocol Number:,TRAFO001
Sponsor Name:,Institut für Frauengesundheit GmbH
Full Title:,"Evaluation of predictive Factors for the Effectivity of Aromatase Inhibitor Therapy -  Offene, prospektive, multizentrische Phase IV-Studie zur Untersuchung des Einflusses von pharmakogenetischen M..."
Start Date:,2009-02-06
Medical condition:,"The study examines the influence of pharmacogenetic markers on the efficacy and side effects in postmenopausal, steroid hormone positive breast cancer patients, who are treated with Letrozol. The p..."
Disease:,"Version: 20.0, SOC Term: 10029104 - Neoplasms benign, malignant and unspecified (incl cysts and polyps), Classification Code: 10006187, Term: Breast cancer, Level: PT"
Population Age:,"Adults, Elderly"
Gender:,Female
Trial protocol:,DE(Ongoing)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-004874-42
EudraCT Number:,2008-002768-32
Sponsor Protocol Number:,MM03
Sponsor Name:,Freistaat Bayern
Full Title:,"A prospective phase I/II, one-arm, one-stage multi-center, open label study of lenalidomide in combination with pioglitazone, dexamethasone and metronomic low-dose chemotherapy with treosulfan in p..."
Start Date:,2009-06-08
Medical condition:,Multiple myeloma
Disease:,"Version: 21.0, SOC Term: 100000004864, Classification Code: 10028228, Term: Multiple myeloma, Level: LLT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DE(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-002768-32
EudraCT Number:,2010-022400-53
Sponsor Protocol Number:,NLH-01
Sponsor Name:,Køge Hospital
Full Title:,Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.
Start Date:,2011-01-13
Medical condition:,Acute Myocardial Infarction
Disease:,"Version: 18.1, SOC Term: 10007541 - Cardiac disorders, Classification Code: 10000891, Term: Acute myocardial infarction, Level: PT"
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DK(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-022400-53
EudraCT Number:,2008-003174-18
Sponsor Protocol Number:,PACET-CUP
Sponsor Name:,Universitätsklinikum Heidelberg
Full Title:,"Open-labeled, randomized multi-center phase II study evaluating the efficacy and safety of Paclitaxel/ Carboplatin with and without Cetuximab as first-line treatment of adeno- and undifferentiated ..."
Start Date:,2009-12-18
Medical condition:,adeno- and undifferentiated Carcinoma of Unknown Primary (CUP)
Disease:,
Population Age:,"Adults, Elderly"
Gender:,"Male, Female"
Trial protocol:,DE(Completed)
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-003174-18
EudraCT Number:,2006-001095-21
Sponsor Protocol Number:,A5I16
Sponsor Name:,Sanofi Pasteur Inc.
Full Title:,"Immunogenicity and Safety of PEDIACEL®, a Combined Diphtheria, Tetanus, Five Component Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type b Conjugate Vaccine (Adsorbed),..."
Start Date:,2016-04-19
Medical condition:,"Pertussis, adsorbed diphtheria and tetanus toxoids, inactivated poliomyelitis and polysaccharide of H. influenza type b bound to tetanus toxoid"
Disease:,
Population Age:,"Infants and toddlers, Under 18"
Gender:,"Male, Female"
Trial protocol:,Outside EU/EEA
Link:,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-001095-21
EudraCT Number:,2006-000653-22
Sponsor Protocol Number:,GART1013
Sponsor Name:,Moorfields Eye Hospital
Full Title:,The UK Glaucoma Treatment Study
Start Date:,2006-07-26
